Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,0
Aberdeen,Macqueen,St,Ramp,-32.16688641,150.8919573,1
Adamstown,St James,Rd,Ramp,-32.93340162,151.7203474,2
Albion Park,Princes,Hwy,Ramp,-34.56278202,150.7984185,3
Allawah,Roberts,Ln,Stairs,-33.96949011,151.1145667,4
Arlington LR,Grove,St,Path,-33.9020453,151.1381593,5
Arncliffe,Firth,St,Stairs,-33.93671781,151.1468509,6
Artarmon,Valetta,Ln,Ramp,-33.80823377,151.1847419,7
Ashfield,Station,St,Stairs,-33.88739665,151.1258025,8
Asquith,Pacific,Hwy,Ramp,-33.68848916,151.1079991,9
Auburn,Rawson,St,Ramp,-33.8492876,151.0332914,10
Austinmer,Railway,Av,Path,-34.30650136,150.9289071,11
Awaba,Adelaide,St,Ramp,-33.0129167,151.5421589,12
Banksia,Railway,St,Ramp,-33.94479129,151.1404987,13
Bankstown,North,Tce,Ramp,-33.91768635,151.0342697,14
Bardwell Park,Hartill Law,Av,Stairs,-33.93137824,151.125379,15
Bargo,Great Southern,Rd,Path,-34.29097858,150.5801756,16
Beecroft,Wongala,Cr,Path,-33.74904472,151.0663377,17
Bell,Sandham ,Rd,Ramp,-33.5061656,150.2793612,18
Bellambi,Bellambi,Ln,Ramp,-34.36261281,150.9101311,19
Belmore,Burwood,Rd,Stairs,-33.91722736,151.0883244,20
Berala,Woodburn,Rd,Path,-33.87139384,151.0323272,21
Beresfield,Lawson,Av,Stairs,-32.79940714,151.6585784,22
Berowra,Pacific,Hwy,Ramp,-33.62291449,151.1535638,23
Berry,Station,Rd,Path,-34.78027342,150.6967235,24
Beverly Hills,King Georges,Rd,Lift,-33.94913026,151.0808291,25
Bexley North,Bexley,Rd,Stairs,-33.9374812,151.1139261,26
Birrong,Avalon,St,Stairs,-33.89253644,151.0243134,27
Blackheath,Great Western,Hwy,Stairs,-33.63397248,150.2845903,28
Blacktown,First,Av,Stairs,-33.7677336,150.9079689,29
Blaxland,Wilson,Way,Stairs,-33.74366205,150.6098058,30
Bomaderry,Meroo,St,Path,-34.85374494,150.6097702,31
Bombo,Princes,Hwy,Stairs,-34.65868669,150.8537686,32
Bondi Junction,Grafton,St,Stairs,-33.89099409,151.2482086,33
Booragul,Fourth,St,Ramp,-32.97169903,151.605168,34
Bowral,Kirkham ,Rd,Path,-34.47763745,150.4167974,35
Branxton,Railway,St,Ramp,-32.66209242,151.3455358,36
Broadmeadow,Brown,Rd,Ramp,-32.92216413,151.7352213,37
Bullaburra,Railway,Pde,Stairs,-33.72316759,150.4149891,38
Bulli,Park,Rd,Lift,-34.3338201,150.9149316,39
Bundanoon,Erith,St,Ramp,-34.6557524,150.2997407,40
Burradoo,Burradoo,Rd,Ramp,-34.49418573,150.3978582,41
Burwood,Burwood,Rd,Stairs,-33.87704552,151.1038525,42
Cabramatta,Railway,Pde,Lift,-33.89459892,150.9388134,43
Camellia,Grand,Av,Ramp,-33.81918103,151.024141,44
Campbelltown,Farrow,Rd,Stairs,-34.06302424,150.8144097,45
